Day,unit,timestamp,sensor,genotype,g_alias,treatment,3D Leaf Area mm²,Canopy Light Penetration Depth mm,Convex Hull Area mm²,Convex Hull Area Coverage %,Convex Hull Aspect Ratio %,Convex Hull Circumference mm,Convex Hull Maximum Width mm,Digital Biomass mm³,GLI Average ,GLI [-1:-0.2] %,GLI [-0.2:0] %,GLI [0:0.15] %,GLI [0.15:0.3] %,GLI [0.3:0.6] %,GLI [0.6:1] %,Hue Average °,Hue [0:25] %,Hue [25:50] %,Hue [50:75] %,Hue [75:100] %,Hue [100:125] %,Hue [125:360] %,Lightness Average %,Lightness [0:25] %,Lightness [0:0] %,Lightness [25:50] %,Lightness [50:75] %,Lightness [75:100] %,Lightness [100:100] %,NDVI Average ,NDVI [-1:0] %,NDVI [0:0.15] %,NDVI [0.15:0.3] %,NDVI [0.3:0.45] %,NDVI [0.45:0.6] %,NDVI [0.6:1] %,NPCI Average ,NPCI [-1:-0.2] %,NPCI [-0.2:0] %,NPCI [0:0.2] %,NPCI [0.2:0.4] %,NPCI [0.4:0.6] %,NPCI [0.6:1] %,Plant Height Averaged mm,Plant Height Max mm,Projected Leaf Area mm²,PSRI Average ,PSRI [-4:-0.8] %,PSRI [-0.8:-0.4] %,PSRI [-0.4:-0.2] %,PSRI [-0.2:0] %,PSRI [0:0.2] %,PSRI [0.2:4] %,Saturation Average %,Saturation [0:0] %,Saturation [0:25] %,Saturation [25:50] %,Saturation [50:75] %,Saturation [75:100] %,Saturation [100:100] %,Surface Angle Average °,Voxel Volume Total mm³
19,81:01:01,04/11/2024 13:34,A,Col-0,col0,BP1.1,18.6723,6.8175,429.121,3.35569,16.3355,118.134,54.4118,295.532,0.0409663,1.07527,49.4624,12.9032,33.3333,3.22581,0,33.8415,5.37634,6.45161,5.37634,26.8817,11.828,44.086,13.6129,86.0215,0,12.9032,1.07527,0,0,0.440059,0,0,0,63.4409,34.4086,2.15054,0.0864113,0,30.1075,47.3118,22.5806,0,0,15.8272,15.9012,14.4,0.0412665,0,0,2.15054,27.957,67.7419,2.15054,23.6497,0,62.3656,37.6344,0,0,0,50.46,93
21,81:01:01,06/11/2024 14:15,A,Col-0,col0,BP1.1,44.0632,2.4,78.3047,49.8821,51.0076,35.9506,13.813,475.906,0.256665,0,0.628931,6.28931,73.5849,19.4969,0,90.876,0.628931,2.51572,4.40252,76.1006,16.3522,0,9.80803,100,0,0,0,0,0,0.452558,0,0,0,41.5094,57.8616,0.628931,0.215276,0,0,43.3962,56.6038,0,0,10.8005,10.7995,39.0601,0.131264,0,0,0,0,93.0818,6.91824,36.8594,0,5.66038,91.8239,2.51572,0,0,62.4303,159
23,81:01:01,08/11/2024 10:58,A,Col-0,col0,BP1.1,80.6664,1.88847,221.031,33.8775,75.7663,56.5681,20.0529,924.842,0.343403,0,0,0.352113,19.3662,80.2817,0,102.227,0,0,0,36.9718,62.6761,0.352113,8.65501,100,0,0,0,0,0,0.564736,0,0,0,5.28169,62.6761,32.0423,0.189378,0,0.352113,55.2817,44.3662,0,0,11.465,11.5119,74.88,0.0859175,0,0,0,0.352113,99.6479,0,43.2391,0,1.05634,80.9859,17.9577,0,0,68.1658,284
26,81:01:01,11/11/2024 10:24,A,Col-0,col0,BP1.1,215.165,6.43993,589.672,31.8685,86.6732,91.1955,31.7036,3596.24,0.371136,0,0,0,11.1929,88.8071,0,103.694,0,0,0,27.246,72.0177,0.736377,7.86805,100,0,0,0,0,0,0.612428,0,0,0,1.47275,32.4006,66.1267,0.198704,0,1.91458,46.9809,47.7172,3.38733,0,16.7139,16.8032,187.919,0.0765192,0,0,0,1.91458,97.9381,0.147275,46.2623,0,0.294551,63.1811,36.5243,0,0,60.8525,679
19,81:01:02,04/11/2024 13:34,A,Col-0,col0,BP1.2,167.875,1.99985,357.117,41.9357,58.8174,73.8455,29.958,1309.8,0.340407,0,0,0.187617,23.4522,76.3602,0,103.565,0,0,0.187617,27.0169,72.4203,0.375235,8.96759,100,0,0,0,0,0,0.563133,0,0,0,5.4409,65.8537,28.7054,0.171871,0,1.1257,63.227,34.1463,1.50094,0,7.80224,7.80124,149.759,0.0785393,0,0,0,1.1257,98.8743,0,42.0719,0,1.87617,80.3002,17.8236,0,0,63.1362,533
21,81:01:02,06/11/2024 14:15,A,Col-0,col0,BP1.2,263.769,8.30576,771.844,29.3843,80.5947,108.582,38.1177,3742.1,0.36598,0,0,0.503778,14.9874,84.5088,0,104.126,0,0,0.125945,23.9295,75.063,0.881612,8.27307,100,0,0,0,0,0,0.607768,0,0,0,2.267,37.4055,60.3275,0.185941,0,1.51134,58.1864,38.4131,1.88917,0,14.1871,14.3409,226.801,0.0730371,0,0,0,1.51134,98.1108,0.377834,45.126,0,1.00756,69.2695,29.7229,0,0,59.2983,794
23,81:01:02,08/11/2024 10:58,A,Col-0,col0,BP1.2,491.45,7.10485,1380.59,30.7557,75.2665,143.08,54.266,6495.25,0.375054,0,0,0.275482,9.50413,90.2204,0,103.792,0,0.0688705,0,23.7603,75.9642,0.206612,8.32241,100,0,0,0,0,0,0.615291,0,0,0,1.99725,32.2314,65.7713,0.19813,0,0.482094,54.2011,42.2865,3.0303,0,13.2165,13.3529,424.612,0.0752599,0,0,0,0.482094,99.0358,0.482094,46.4918,0,0.275482,66.8044,32.7824,0.137741,0,59.7695,1452
26,81:01:02,11/11/2024 10:24,A,Col-0,col0,BP1.2,1078.63,11.6192,2363.77,40.1451,92.2084,186.392,63.8711,19935.3,0.356546,0,0,0.608389,17.6113,81.7803,0,105.544,0,0.0320205,0.0320205,17.7714,81.7483,0.416266,8.29291,100,0,0,0,0,0,0.633306,0,0,0,1.37688,23.1188,75.5043,0.161079,0,1.72911,66.4745,31.1559,0.64041,0,18.482,18.7509,948.935,0.0592084,0,0,0,1.72911,98.2709,0,43.0462,0,1.92123,74.5117,23.5671,0,0,61.6149,3123
19,81:02:01,04/11/2024 13:34,A,Col-0,col0,BP1.3,0,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0
21,81:02:01,06/11/2024 14:15,A,Col-0,col0,BP1.3,80.9401,3.40977,221.953,34.0612,77.5602,56.7448,19.6815,950.077,0.326343,0,0,1.3986,31.4685,67.1329,0,105.422,0,0,1.04895,21.3287,76.5734,1.04895,9.00366,100,0,0,0,0,0,0.57022,0,0,0,4.8951,59.4406,35.6643,0.150012,0,3.4965,67.8322,26.5734,2.0979,0,11.738,11.9245,75.6,0.0672915,0,0,0,3.4965,95.4545,1.04895,39.7593,0,5.24476,79.7203,15.035,0,0,69.0705,286
